	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
177	ACOT7	0.060077794	0.1988728	1.725268	5.296487	1
570	MAN1C1	-7.2759576e-11	0.05344779	9.064685	6.1853485	1
723	FAM167B	0.03998843	0.17808323	2.1521037	6.3593216	1
767	GJA4	0.024099464	0.17622758	2.8652112	9.371564	1
1023	EFCAB14	0.28437856	0.69113976	1.2808663	10.816441	1
1201	NFIA-AS2	-7.2759576e-11	0.062433682	9.288491	6.1677446	1
1354	IFI44	0.017344417	0.13108669	2.9107842	7.208745	1
1488	GCLM	0.19538721	0.47643787	1.2855165	7.5956645	1
1531	PALMD	0.03917739	0.16231753	2.0479362	5.1839733	1
2375	PBX1	0.28264228	0.5867671	1.0535463	5.962058	1
2616	C1orf21	0.602909	0.27660462	-1.123833	5.3032246	1
2621	NIBAN1	0.08643849	0.26614073	1.6213174	5.2177515	1
2630	HMCN1	0.08228137	0.2622842	1.6712906	6.6012115	1
2879	CD34	0.29208207	0.64337134	1.1390084	5.078769	1
3173	FAM89A	0.116952606	0.36162084	1.6277195	8.405105	1
3268	CHRM3	0.016029384	0.16057889	3.3164172	11.693329	1
3606	FAM49A	0.09425031	0.26570314	1.4942589	5.6788177	1
3796	EHD3	0.8922475	0.3282124	-1.4425365	6.3966966	1
3819	LTBP1	0.18888429	0.4263422	1.1740838	5.224061	1
3833	CRIM1	0.23078209	0.54071105	1.2279685	7.8833103	1
3852	CDC42EP3	0.22645171	0.5682908	1.3270428	8.502037	1
3883	TMEM178A	-7.2759576e-11	0.066510424	9.379605	7.474165	1
4096	SLC1A4	0.07332309	0.2500981	1.768765	6.318035	1
4149	ANXA4	0.06444334	0.2214392	1.7792218	5.7882495	1
4178	TEX261	0.013147399	0.09593898	2.857911	6.000325	1
4321	CAPG	0.023637557	0.12602954	2.409663	6.7047696	1
4328	VAMP5	0.29753628	0.8825865	1.5683508	14.012023	1
4505	CNNM3	-7.2759576e-11	0.04283813	8.746117	5.654643	1
4569	NPAS2	0.064923204	0.21818662	1.747197	5.909383	1
4579	RFX8	0.00578217	0.095604196	4.024162	8.929868	1
4793	INHBB	0.14656097	0.45658106	1.6387019	6.811177	1
4929	CXCR4	0.24721593	0.6790361	1.4573456	10.013025	1
5199	HOXD9	-7.2759576e-11	0.1013927	9.987162	11.124128	1
5200	HOXD8	0.025170669	0.24286352	3.265204	14.693978	1
5203	HAGLR	-7.2759576e-11	0.05165141	9.015455	6.7686057	1
5205	HAGLROS	0.01707709	0.11211378	2.7076924	6.042209	1
5212	LINC01116	-7.2759576e-11	0.118416965	10.210879	12.800883	1
5288	FSIP2	-7.2759576e-11	0.06351013	9.313114	7.1121464	1
5753	PSMD1	0.3738704	0.8090402	1.1134658	9.396654	1
5834	ACKR3	0.1446984	0.49304375	1.7679626	9.177753	1
5906	KIF1A	-7.2759576e-11	0.08994347	9.814479	9.426261	1
7096	MGLL	0.08657243	0.39522552	2.189396	14.178651	1
7487	MECOM	0.17623827	0.571553	1.696794	12.851387	1
7529	TNFSF10	0.006685456	0.2997308	5.465559	22.905916	1
8231	UCHL1	0.41681078	1.6489176	1.9837962	30.67383	1
8624	GPRIN3	0.02216034	0.32277432	3.8584251	19.52809	1
8631	MMRN1	0.017975332	0.11821738	2.710568	6.0190864	1
9007	SMAD1	0.21499929	0.5716091	1.4102784	9.891177	1
9129	GASK1B	0.091523156	0.2865757	1.6456354	6.18918	1
9183	PALLD	0.045292616	0.17476247	1.9456911	5.6644773	1
9234	HPGD	0.042289533	0.22061409	2.3803988	8.228829	1
9725	RICTOR	0.16634873	0.3866588	1.2163562	5.187774	1
10771	SH3TC2	-7.2759576e-11	0.04546061	8.831644	5.1454906	1
10779	GRPEL2	0.05957393	0.20110941	1.753525	5.724735	1
10816	GPX3	0.012530238	0.09631795	2.9324198	6.03003	1
11011	STC2	0.46134356	0.11482091	-2.0055127	7.0163536	1
11318	GCNT2	0.018772174	0.096406095	2.3543594	5.179245	1
12127	BAG2	0.030897995	0.13956116	2.171684	5.6633854	1
12522	PKIB	0.0148769235	0.112433285	2.9095385	6.7543063	1
12565	ARHGAP18	0.29827586	0.6026757	1.0144905	5.4744606	1
12928	RPS6KA2	0.20853917	0.49904162	1.2584391	7.636954	1
13170	THSD7A	0.024036871	0.14080858	2.545449	6.4583664	1
13306	HOXA9	-7.2759576e-11	0.14442104	10.497065	15.029243	1
13308	HOXA10	-7.2759576e-11	0.12786809	10.321569	14.015636	1
13499	POLM	0.0067382883	0.071271226	3.3836355	5.396171	1
14373	ADCK2	0.006685456	0.06944897	3.3575115	5.501305	1
14811	PRAG1	0.013059576	0.09847258	2.9050734	6.1753864	1
15065	CLU	0.01398276	0.14623658	3.3772886	8.333872	1
15224	SFRP1	0.8158836	0.33947664	-1.2648029	6.6535625	1
15269	SPIDR	0.0066341534	0.06529214	3.279549	5.1366596	1
15328	RP1	0.021636706	0.12820263	2.5613456	6.3965335	1
15785	BAALC	0.23863769	0.53955054	1.1765991	6.183927	1
16090	LY6E	0.7255261	0.27059695	-1.4225478	8.237407	1
16706	PCSK5	0.008788034	0.07716416	3.119863	5.074215	1
16855	ZNF169	-7.2759576e-11	0.039212555	8.618848	5.007191	1
