,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS015B29D3F---APOA1-ABCA1---CM-EC,APOA1-ABCA1,CM-EC,0.0944976076555024,1.0,0.0944976076555024,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Apolipoprotein
CPI-SS0F9118AB4---NLGN4X-NRXN3---CM-EC,NLGN4X-NRXN3,CM-EC,0.10824742268041236,1.0,0.10824742268041236,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS052119104---AREG-EGFR---CM-EC,AREG-EGFR,CM-EC,0.012578616352201269,1.0,0.012578616352201269,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS0FC01B947---EFNA5-EPHA4---CM-EC,EFNA5-EPHA4,CM-EC,0.3839662447257384,1.0,0.3839662447257384,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS028688B7B---EFNA5-EPHA7---CM-EC,EFNA5-EPHA7,CM-EC,0.2993421052631579,1.0,0.2993421052631579,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS03466C597---LRRTM4-NRXN1---CM-EC,LRRTM4-NRXN1,CM-EC,0.06688963210702342,1.0,0.06688963210702342,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein
CPI-SS0FA378947---NLGN4X-NRXN1---CM-EC,NLGN4X-NRXN1,CM-EC,0.06542056074766356,1.0,0.06542056074766356,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS0889E281D---CADM1-CADM1---CM-EC,CADM1-CADM1,CM-EC,1.0,0.001,,1.0,1.0,3.0,yes,False,Adhesion-Adhesion,Adhesion by CADM
CPI-SS0ACAB1835---RSPO3-LGR4---CM-EC,RSPO3-LGR4,CM-EC,0.803347280334728,0.001,,0.803347280334728,1.0,3.0,yes,False,Ligand-Receptor,Signaling by R-spondin
CPI-SS0A28DCA72---CXCL12-CXCR4---CM-EC,CXCL12-CXCR4,CM-EC,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Chemokines
CPI-CS0917E42F5---DHEAsulfate-bySULT1E1-PPARG---CM-EC,DHEAsulfate-bySULT1E1-PPARG,CM-EC,0.3393393393393394,1.0,0.3393393393393394,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Dehydroepiandrosterone
CPI-SS0BD5C2A23---NRG1-ERBB4---CM-EC,NRG1-ERBB4,CM-EC,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Neuregulin
CPI-SS081E1A895---LRFN5-PTPRD---CM-EC,LRFN5-PTPRD,CM-EC,0.021638330757341572,1.0,0.021638330757341572,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Leucine Rich Repeat And Fibronectin
CPI-SS087E0E3FB---EFNB2-EPHA4---CM-EC,EFNB2-EPHA4,CM-EC,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0ECC9DF3E---EFNB2-EPHB2---CM-EC,EFNB2-EPHB2,CM-EC,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0837C7966---NLGN4Y-NRXN3---CM-EC,NLGN4Y-NRXN3,CM-EC,0.059347181008902086,1.0,0.059347181008902086,,0.0,0.0,no,False,Ligand-Receptor,
CPI-SS0CCB5F46B---NLGN4Y-NRXN1---CM-EC,NLGN4Y-NRXN1,CM-EC,0.04310344827586207,1.0,0.04310344827586207,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS0D5E30C6C---NRG3-ERBB4---CM-EC,NRG3-ERBB4,CM-EC,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Neuregulin
CPI-SS0A932EB77---SLIT2-ROBO1---CM-EC,SLIT2-ROBO1,CM-EC,0.9877300613496932,0.001,,0.9877300613496932,1.0,3.0,yes,False,Ligand-Receptor,Signaling by SLIT and NTRK-like protein
CPI-SS0EC8C81E0---VEGFC-KDR---CM-EC,VEGFC-KDR,CM-EC,0.9506531204644412,0.001,,0.9506531204644412,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0F67B526A---SEMA3C-NRP2---CM-EC,SEMA3C-NRP2,CM-EC,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS021718DBF---TENM2-ADGRL2---CM-EC,TENM2-ADGRL2,CM-EC,0.7189542483660132,0.001,,0.7189542483660132,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS075F456AF---TENM3-ADGRL2---CM-EC,TENM3-ADGRL2,CM-EC,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS0FD44484F---TENM4-ADGRL2---CM-EC,TENM4-ADGRL2,CM-EC,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS00C24ED50---CDH5-CDH5---CM-EC,CDH5-CDH5,CM-EC,0.005555555555555561,1.0,0.005555555555555561,,0.0,0.0,no,False,Adhesion-Adhesion,Adhesion by Cadherin
CPI-SS04C672963---ESAM-ESAM---CM-EC,ESAM-ESAM,CM-EC,,1.0,,,1.0,0.0,no,False,Adhesion-Adhesion,
CPI-SS015B29D3F---APOA1-ABCA1---EC-CM,APOA1-ABCA1,EC-CM,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Apolipoprotein
CPI-SS0F9118AB4---NLGN4X-NRXN3---EC-CM,NLGN4X-NRXN3,EC-CM,0.38659793814432997,1.0,0.38659793814432997,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS052119104---AREG-EGFR---EC-CM,AREG-EGFR,EC-CM,0.04402515723270444,1.0,0.04402515723270444,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS0FC01B947---EFNA5-EPHA4---EC-CM,EFNA5-EPHA4,EC-CM,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS028688B7B---EFNA5-EPHA7---EC-CM,EFNA5-EPHA7,EC-CM,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS03466C597---LRRTM4-NRXN1---EC-CM,LRRTM4-NRXN1,EC-CM,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein
CPI-SS0FA378947---NLGN4X-NRXN1---EC-CM,NLGN4X-NRXN1,EC-CM,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS0889E281D---CADM1-CADM1---EC-CM,CADM1-CADM1,EC-CM,1.0,0.001,,1.0,1.0,3.0,yes,False,Adhesion-Adhesion,Adhesion by CADM
CPI-SS0ACAB1835---RSPO3-LGR4---EC-CM,RSPO3-LGR4,EC-CM,1.0,1.0,1.0,,0.0,0.0,no,False,Ligand-Receptor,Signaling by R-spondin
CPI-SS0A28DCA72---CXCL12-CXCR4---EC-CM,CXCL12-CXCR4,EC-CM,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Chemokines
CPI-CS0917E42F5---DHEAsulfate-bySULT1E1-PPARG---EC-CM,DHEAsulfate-bySULT1E1-PPARG,EC-CM,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Dehydroepiandrosterone
CPI-SS0BD5C2A23---NRG1-ERBB4---EC-CM,NRG1-ERBB4,EC-CM,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Neuregulin
CPI-SS081E1A895---LRFN5-PTPRD---EC-CM,LRFN5-PTPRD,EC-CM,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Leucine Rich Repeat And Fibronectin
CPI-SS087E0E3FB---EFNB2-EPHA4---EC-CM,EFNB2-EPHA4,EC-CM,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0ECC9DF3E---EFNB2-EPHB2---EC-CM,EFNB2-EPHB2,EC-CM,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0837C7966---NLGN4Y-NRXN3---EC-CM,NLGN4Y-NRXN3,EC-CM,0.6468842729970326,0.001,,0.6468842729970326,1.0,3.0,yes,False,Ligand-Receptor,
CPI-SS0CCB5F46B---NLGN4Y-NRXN1---EC-CM,NLGN4Y-NRXN1,EC-CM,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS0D5E30C6C---NRG3-ERBB4---EC-CM,NRG3-ERBB4,EC-CM,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Neuregulin
CPI-SS0A932EB77---SLIT2-ROBO1---EC-CM,SLIT2-ROBO1,EC-CM,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by SLIT and NTRK-like protein
CPI-SS0EC8C81E0---VEGFC-KDR---EC-CM,VEGFC-KDR,EC-CM,0.20029027576197386,0.001,,0.20029027576197386,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0F67B526A---SEMA3C-NRP2---EC-CM,SEMA3C-NRP2,EC-CM,0.04283054003724396,1.0,0.04283054003724396,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Semaphorin
CPI-SS021718DBF---TENM2-ADGRL2---EC-CM,TENM2-ADGRL2,EC-CM,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS075F456AF---TENM3-ADGRL2---EC-CM,TENM3-ADGRL2,EC-CM,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS0FD44484F---TENM4-ADGRL2---EC-CM,TENM4-ADGRL2,EC-CM,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS00C24ED50---CDH5-CDH5---EC-CM,CDH5-CDH5,EC-CM,0.005555555555555561,1.0,0.005555555555555561,,0.0,0.0,no,False,Adhesion-Adhesion,Adhesion by Cadherin
CPI-SS04C672963---ESAM-ESAM---EC-CM,ESAM-ESAM,EC-CM,,1.0,,,1.0,0.0,no,False,Adhesion-Adhesion,
CPI-SS015B29D3F---APOA1-ABCA1---EC-EC,APOA1-ABCA1,EC-EC,0.029904306220095697,1.0,0.029904306220095697,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Apolipoprotein
CPI-SS0F9118AB4---NLGN4X-NRXN3---EC-EC,NLGN4X-NRXN3,EC-EC,0.211340206185567,1.0,0.211340206185567,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS052119104---AREG-EGFR---EC-EC,AREG-EGFR,EC-EC,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS0FC01B947---EFNA5-EPHA4---EC-EC,EFNA5-EPHA4,EC-EC,0.17299578059071732,1.0,0.17299578059071732,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS028688B7B---EFNA5-EPHA7---EC-EC,EFNA5-EPHA7,EC-EC,0.13486842105263155,1.0,0.13486842105263155,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS03466C597---LRRTM4-NRXN1---EC-EC,LRRTM4-NRXN1,EC-EC,0.06354515050167225,1.0,0.06354515050167225,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein
CPI-SS0FA378947---NLGN4X-NRXN1---EC-EC,NLGN4X-NRXN1,EC-EC,0.12772585669781933,1.0,0.12772585669781933,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Neuroligin
CPI-SS0889E281D---CADM1-CADM1---EC-EC,CADM1-CADM1,EC-EC,,1.0,,,1.0,0.0,no,False,Adhesion-Adhesion,Adhesion by CADM
